"","placelist...1.","X","positions","X.1","day1$testing_rate_final","day2$testing_rate_final","day3$testing_rate_final","day4$testing_rate_final","day5$testing_rate_final","day6$testing_rate_final","day1$population","diff1","diff2","diff3","diff4","diff5","averages"
"1","City of Agoura Hills, CA",1,34.123286,-118.758541,26802,27506,27697,27870,28162,28382,20883,1.02626669651519,1.00694393950411,1.00624616384446,1.01047721564406,1.00781194517435,0.0115491921364328
"2","City of Alhambra, CA",2,34.090728,-118.127527,25555,26108,26300,26541,26768,26993,86724,1.02163960086089,1.00735406771871,1.00916349809886,1.00855280509401,1.00840555887627,0.0110231061297461
"3","City of Arcadia, CA",3,34.136258,-118.026704,19581,20089,20284,20534,20695,20868,57754,1.02594351667433,1.009706804719,1.01232498521002,1.0078406545242,1.00835950712733,0.0128350936509749
"4","City of Artesia, CA",4,33.865395,-118.073148,30491,31110,31366,31450,31783,32010,16795,1.02030107244761,1.00822886531662,1.00267805904483,1.01058823529412,1.00714218292798,0.00978768300623001
"5","City of Avalon, CA",5,33.34281,-118.32785,1732,1732,1732,1706,1706,1706,3869,1,1,0.984988452655889,1,1,-0.00300230946882218
"6","City of Azusa, CA",6,34.13529,-117.91506,23549,23949,24123,24261,24548,24798,50040,1.01698585927216,1.007265439058,1.00572068150728,1.01182968550348,1.01018412905328,0.0103971588788392
"7","City of Baldwin Park, CA",7,34.08529,-117.9609,25519,25960,26176,26211,26465,26646,76769,1.01728124142796,1.00832049306626,1.00133710268949,1.0096905879211,1.00683922161345,0.0086937293436502
"8","City of Bell, CA",8,33.976663,-118.168903,28083,28595,28798,28952,29343,29696,36332,1.01823167040558,1.00709914320685,1.00534759358289,1.01350511190937,1.01203012643561,0.0112427291080599
"9","City of Bell Gardens, CA",9,33.9653,-118.1515,27585,28225,28460,28597,29015,29291,43071,1.02320101504441,1.00832595217006,1.0048137737175,1.01461691785852,1.00951232121317,0.0120939960007302
"10","City of Bellflower, CA",10,33.888014,-118.12965,27093,27639,27856,27948,28260,28538,77735,1.02015280699812,1.00785122471869,1.00330269959793,1.0111635895234,1.00983722576079,0.0104615093197875
"11","City of Beverly Hills, CA",11,34.0736,-118.4004,51695,52677,52943,53265,53751,54282,34520,1.01899603443273,1.00504964215882,1.00608201273067,1.00912419036891,1.00987888597421,0.009826153133069
"12","City of Bradbury, CA",12,34.147,-117.9709,5426,5426,5426,4490,4490,4677,1069,1,1,0.827497235532621,1,1.04164810690423,-0.0261709315126295
"13","City of Burbank, CA",13,34.200993,-118.292773,29409,30253,30492,30764,31107,31473,107180,1.02869869767758,1.00790004297095,1.00892037255674,1.01114939539722,1.01176584048606,0.0136868698177088
"14","City of Calabasas, CA",14,34.12331,-118.671028,27340,28245,28442,28734,29022,29363,24323,1.03310168251646,1.00697468578509,1.01026650727797,1.01002296930466,1.01174970711874,0.0144231104005834
"15","City of Carson, CA",15,33.813317,-118.261154,22995,23575,23751,23829,24126,24374,93846,1.02522287453794,1.00746553552492,1.00328407224959,1.01246380460783,1.01027936665838,0.0117431307157321
