"","placelist...1.","coordinates[, 2]","coordinates[, 3]","df1 <- day1$persons_tested_final","df2 <- day2$persons_tested_final","df3 <- day3$persons_tested_final","df4 <- day4$persons_tested_final","df5 <- day5$persons_tested_final","df6 <- day6$persons_tested_final","(located$df2/located$df1)","(located$df3/located$df2)","(located$df4/located$df3)","(located$df5/located$df4)","(located$df6/located$df5)","averages"
"1","City of Agoura Hills, CA",34.123286,-118.758541,5597,5744,5784,5820,5881,5927,1.02626407003752,1.00696378830084,1.00622406639004,1.01048109965636,1.00782179901377,0.0115509646797055
"2","City of Alhambra, CA",34.090728,-118.127527,22162,22642,22808,23017,23214,23409,1.02165869506362,1.00733150781733,1.00916345142055,1.00855889125429,1.00840010338589,0.011022529788337
"3","City of Arcadia, CA",34.136258,-118.026704,11309,11602,11715,11859,11952,12052,1.02590856839685,1.00973970005172,1.01229193341869,1.00784214520617,1.00836680053548,0.0128298295217818
"4","City of Artesia, CA",33.865395,-118.073148,5121,5225,5268,5282,5338,5376,1.02030853348955,1.00822966507177,1.00265755504935,1.01060204468005,1.00711877107531,0.00978331387320646
"5","City of Avalon, CA",33.34281,-118.32785,67,67,67,66,66,66,1,1,0.985074626865672,1,1,-0.00298507462686568
"6","City of Azusa, CA",34.13529,-117.91506,11784,11984,12071,12140,12284,12409,1.01697216564834,1.00725967957276,1.00571617927264,1.01186161449753,1.01017583848909,0.0103970954960715
"7","City of Baldwin Park, CA",34.08529,-117.9609,19591,19929,20095,20122,20317,20456,1.01725282017253,1.00832956997341,1.00134361781538,1.00969088559785,1.00684156125412,0.00869169096265718
"8","City of Bell, CA",33.976663,-118.168903,10203,10389,10463,10519,10661,10789,1.01822993237283,1.00712291847146,1.00535219344356,1.01349938207054,1.01200637838852,0.0112421609493826
"9","City of Bell Gardens, CA",33.9653,-118.1515,11881,12157,12258,12317,12497,12616,1.02323036781416,1.00830797071646,1.00481318322728,1.01461394820167,1.00952228534848,0.0120975510616106
"10","City of Bellflower, CA",33.888014,-118.12965,21061,21485,21654,21725,21968,22184,1.02013199753098,1.00786595299046,1.00327883993719,1.01118527042578,1.00983248361253,0.0104589088993877
"11","City of Beverly Hills, CA",34.0736,-118.4004,17845,18184,18276,18387,18555,18738,1.01899691790417,1.00505939287286,1.00607353906763,1.00913689019416,1.00986257073565,0.00982586215489389
"12","City of Bradbury, CA",34.147,-117.9709,58,58,58,48,48,50,1,1,0.827586206896552,1,1.04166666666667,-0.0261494252873563
"13","City of Burbank, CA",34.200993,-118.292773,31521,32425,32681,32973,33340,33733,1.02867929316963,1.00789514263685,1.00893485511459,1.01113031874564,1.01178764247151,0.0136854504276452
"14","City of Calabasas, CA",34.12331,-118.671028,6650,6870,6918,6989,7059,7142,1.03308270676692,1.00698689956332,1.01026308181555,1.01001573901846,1.01175803938235,0.0144212933093192
"15","City of Carson, CA",33.813317,-118.261154,21580,22124,22289,22363,22641,22874,1.02520852641335,1.00745796420177,1.00332002332989,1.01243124804364,1.01029106488229,0.0117417653741895
"16","City of Cerritos, CA",33.866914,-118.068648,10589,10870,10972,11051,11177,11289,1.02653697232978,1.00938362465501,1.00720014582574,1.0114016831056,1.01002057797262,0.0129086007777504
"17","City of Claremont, CA",34.09668,-117.71978,7774,7977,8070,8155,8230,8291,1.02611268330332,1.01165851823994,1.01053283767038,1.00919681177192,1.00741190765492,0.0129825517280965
