Address,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source,"Census Year","State FIPS","County FIPS","Place Name","Place FIPS","Census Tract Code","Census Block Code","Census Block Group","Full FIPS","Metro/Micro Statistical Area Name","Metro/Micro Statistical Area Code","Metro/Micro Statistical Area Type","Combined Statistical Area Name","Combined Statistical Area Code","Metropolitan Division Area Name","Metropolitan Division Area Code"
"City of Agoura Hills, CA",34.123286,-118.758541,1,place,,,,,"Agoura Hills",CA,"Los Angeles County",91301,US,"TIGER/Line® dataset from the US Census Bureau",2019,06,06037,,,800329,1022,1,060378003291022,"Los Angeles-Long Beach-Anaheim, CA",31080,metropolitan,"Los Angeles-Long Beach, CA",348,"Los Angeles-Long Beach-Glendale, CA",31084
"City of Alhambra, CA",34.090728,-118.127527,1,place,,,,,Alhambra,CA,"Los Angeles County",91801,US,"TIGER/Line® dataset from the US Census Bureau",2019,06,06037,Alhambra,0600884,481001,1009,1,060374810011009,"Los Angeles-Long Beach-Anaheim, CA",31080,metropolitan,"Los Angeles-Long Beach, CA",348,"Los Angeles-Long Beach-Glendale, CA",31084
"City of Arcadia, CA",34.136258,-118.026704,1,place,,,,,Arcadia,CA,"Los Angeles County",91006,US,"TIGER/Line® dataset from the US Census Bureau",2019,06,06037,Arcadia,0602462,430801,4000,4,060374308014000,"Los Angeles-Long Beach-Anaheim, CA",31080,metropolitan,"Los Angeles-Long Beach, CA",348,"Los Angeles-Long Beach-Glendale, CA",31084
"City of Artesia, CA",33.865395,-118.073148,1,place,,,,,Artesia,CA,"Los Angeles County",90701,US,"TIGER/Line® dataset from the US Census Bureau",2019,06,06037,Artesia,0602896,554900,1001,1,060375549001001,"Los Angeles-Long Beach-Anaheim, CA",31080,metropolitan,"Los Angeles-Long Beach, CA",348,"Los Angeles-Long Beach-Glendale, CA",31084
"City of Avalon, CA",33.34281,-118.32785,1,place,,,,,Avalon,CA,"Los Angeles County",90704,US,"TIGER/Line® dataset from the US Census Bureau",2019,06,06037,Avalon,0603274,599000,2013,2,060375990002013,"Los Angeles-Long Beach-Anaheim, CA",31080,metropolitan,"Los Angeles-Long Beach, CA",348,"Los Angeles-Long Beach-Glendale, CA",31084
"City of Azusa, CA",34.13529,-117.91506,1,place,,,,,Azusa,CA,"Los Angeles County",91702,US,"TIGER/Line® dataset from the US Census Bureau",2019,06,06037,Azusa,0603386,400602,3035,3,060374006023035,"Los Angeles-Long Beach-Anaheim, CA",31080,metropolitan,"Los Angeles-Long Beach, CA",348,"Los Angeles-Long Beach-Glendale, CA",31084
"City of Baldwin Park, CA",34.08529,-117.9609,1,place,,,,,"Baldwin Park",CA,"Los Angeles County",91706,US,"TIGER/Line® dataset from the US Census Bureau",2019,06,06037,"Baldwin Park",0603666,405202,1003,1,060374052021003,"Los Angeles-Long Beach-Anaheim, CA",31080,metropolitan,"Los Angeles-Long Beach, CA",348,"Los Angeles-Long Beach-Glendale, CA",31084
"City of Bell, CA",33.976663,-118.168903,1,place,,,,,Bell,CA,"Los Angeles County",90201,US,"TIGER/Line® dataset from the US Census Bureau",2019,06,06037,Bell,0604870,533806,2003,2,060375338062003,"Los Angeles-Long Beach-Anaheim, CA",31080,metropolitan,"Los Angeles-Long Beach, CA",348,"Los Angeles-Long Beach-Glendale, CA",31084
"City of Bell Gardens, CA",33.786594,-118.298662,1,place,,,,,"Bell Gardens",CA,"Los Angeles County",90202,US,"TIGER/Line® dataset from the US Census Bureau",2019,06,06037,"Los Angeles",0644000,294421,1002,1,060372944211002,"Los Angeles-Long Beach-Anaheim, CA",31080,metropolitan,"Los Angeles-Long Beach, CA",348,"Los Angeles-Long Beach-Glendale, CA",31084
"City of Bellflower, CA",33.888014,-118.12965,1,place,,,,,Bellflower,CA,"Los Angeles County",90706,US,"TIGER/Line® dataset from the US Census Bureau",2019,06,06037,Bellflower,0604982,554204,3000,3,060375542043000,"Los Angeles-Long Beach-Anaheim, CA",31080,metropolitan,"Los Angeles-Long Beach, CA",348,"Los Angeles-Long Beach-Glendale, CA",31084
"City of Beverly Hills, CA",33.786594,-118.298662,1,place,,,,,"Beverly Hills",CA,"Los Angeles County",90209,US,"TIGER/Line® dataset from the US Census Bureau",2019,06,06037,"Los Angeles",0644000,294421,1002,1,060372944211002,"Los Angeles-Long Beach-Anaheim, CA",31080,metropolitan,"Los Angeles-Long Beach, CA",348,"Los Angeles-Long Beach-Glendale, CA",31084
"City of Bradbury, CA",0,0,0,,,,,,,,,,,,,,,,,,,,,,,
"City of Burbank, CA",34.200993,-118.292773,1,place,,,,,Burbank,CA,"Los Angeles County",91501,US,"TIGER/Line® dataset from the US Census Bureau",2019,06,06037,Burbank,0608954,310100,4000,4,060373101004000,"Los Angeles-Long Beach-Anaheim, CA",31080,metropolitan,"Los Angeles-Long Beach, CA",348,"Los Angeles-Long Beach-Glendale, CA",31084
"City of Calabasas, CA",34.12331,-118.671028,1,place,,,,,Calabasas,CA,"Los Angeles County",91302,US,"TIGER/Line® dataset from the US Census Bureau",2019,06,06037,Calabasas,0609598,800202,2037,2,060378002022037,"Los Angeles-Long Beach-Anaheim, CA",31080,metropolitan,"Los Angeles-Long Beach, CA",348,"Los Angeles-Long Beach-Glendale, CA",31084
"City of Carson, CA",33.813317,-118.261154,1,place,,,,,Carson,CA,"Los Angeles County",90745,US,"TIGER/Line® dataset from the US Census Bureau",2019,06,06037,Carson,0611530,543905,1013,1,060375439051013,"Los Angeles-Long Beach-Anaheim, CA",31080,metropolitan,"Los Angeles-Long Beach, CA",348,"Los Angeles-Long Beach-Glendale, CA",31084
"City of Cerritos, CA",33.866914,-118.068648,1,place,,,,,Cerritos,CA,"Los Angeles County",90703,US,"TIGER/Line® dataset from the US Census Bureau",2019,06,06037,Cerritos,0612552,554514,3008,3,060375545143008,"Los Angeles-Long Beach-Anaheim, CA",31080,metropolitan,"Los Angeles-Long Beach, CA",348,"Los Angeles-Long Beach-Glendale, CA",31084
"City of Claremont, CA",34.09668,-117.71978,1,place,,,,,Claremont,CA,"Los Angeles County",91711,US,"TIGER/Line® dataset from the US Census Bureau",2019,06,06037,Claremont,0613756,401902,2001,2,060374019022001,"Los Angeles-Long Beach-Anaheim, CA",31080,metropolitan,"Los Angeles-Long Beach, CA",348,"Los Angeles-Long Beach-Glendale, CA",31084
"City of Commerce, CA",0,0,0,,,,,,,,,,,,,,,,,,,,,,,
"City of Compton, CA",33.874815,-118.240208,1,place,,,,,Compton,CA,"Los Angeles County",90220,US,"TIGER/Line® dataset from the US Census Bureau",2019,06,06037,Compton,0615044,543202,4036,4,060375432024036,"Los Angeles-Long Beach-Anaheim, CA",31080,metropolitan,"Los Angeles-Long Beach, CA",348,"Los Angeles-Long Beach-Glendale, CA",31084
"City of Covina, CA",34.097345,-117.906736,1,place,,,,,Covina,CA,"Los Angeles County",91722,US,"TIGER/Line® dataset from the US Census Bureau",2019,06,06037,Covina,0616742,406000,2007,2,060374060002007,"Los Angeles-Long Beach-Anaheim, CA",31080,metropolitan,"Los Angeles-Long Beach, CA",348,"Los Angeles-Long Beach-Glendale, CA",31084
"City of Cudahy, CA",33.96057,-118.185349,0.9,place,,,,,Cudahy,CA,"Los Angeles County",90201,US,"TIGER/Line® dataset from the US Census Bureau",2019,06,06037,Cudahy,0617498,534301,2003,2,060375343012003,"Los Angeles-Long Beach-Anaheim, CA",31080,metropolitan,"Los Angeles-Long Beach, CA",348,"Los Angeles-Long Beach-Glendale, CA",31084
"City of Culver City, CA",33.998214,-118.394059,1,place,,,,,"Culver City",CA,"Los Angeles County",90230,US,"TIGER/Line® dataset from the US Census Bureau",2019,06,06037,"Culver City",0617568,702600,3002,3,060377026003002,"Los Angeles-Long Beach-Anaheim, CA",31080,metropolitan,"Los Angeles-Long Beach, CA",348,"Los Angeles-Long Beach-Glendale, CA",31084
"City of Diamond Bar, CA",34.02862,-117.81034,1,place,,,,,"Diamond Bar",CA,"Los Angeles County",91765,US,"TIGER/Line® dataset from the US Census Bureau",2019,06,06037,"Diamond Bar",0619192,403316,1018,1,060374033161018,"Los Angeles-Long Beach-Anaheim, CA",31080,metropolitan,"Los Angeles-Long Beach, CA",348,"Los Angeles-Long Beach-Glendale, CA",31084
"City of Downey, CA",33.786594,-118.298662,1,place,,,,,Downey,CA,"Los Angeles County",90239,US,"TIGER/Line® dataset from the US Census Bureau",2019,06,06037,"Los Angeles",0644000,294421,1002,1,060372944211002,"Los Angeles-Long Beach-Anaheim, CA",31080,metropolitan,"Los Angeles-Long Beach, CA",348,"Los Angeles-Long Beach-Glendale, CA",31084
"City of Duarte, CA",33.786594,-118.298662,1,place,,,,,Duarte,CA,"Los Angeles County",91009,US,"TIGER/Line® dataset from the US Census Bureau",2019,06,06037,"Los Angeles",0644000,294421,1002,1,060372944211002,"Los Angeles-Long Beach-Anaheim, CA",31080,metropolitan,"Los Angeles-Long Beach, CA",348,"Los Angeles-Long Beach-Glendale, CA",31084
"City of El Monte, CA",34.078573,-118.043456,1,place,,,,,"El Monte",CA,"Los Angeles County",91731,US,"TIGER/Line® dataset from the US Census Bureau",2019,06,06037,"El Monte",0622230,432801,1000,1,060374328011000,"Los Angeles-Long Beach-Anaheim, CA",31080,metropolitan,"Los Angeles-Long Beach, CA",348,"Los Angeles-Long Beach-Glendale, CA",31084
