"","placelist...1.","X","positions","X.1","day1$testing_rate_final","day2$testing_rate_final","day3$testing_rate_final","day4$testing_rate_final","day5$testing_rate_final","day6$testing_rate_final","Population","diff1","diff2","diff3","diff4","diff5","change1","change2","change3","change4","average"
"1","City of Agoura Hills, CA",1,34.123286,-118.758541,26802,27506,27697,27870,28162,28382,20883,0.0337116314705741,0.00914619546999952,0.00828425034717234,0.0139826653258631,0.0105348848345544,0.271306818181818,0.905759162303665,1.6878612716763,0.753424657534247,-0.0954120225759924
"2","City of Alhambra, CA",2,34.090728,-118.127527,25555,26108,26300,26541,26768,26993,86724,0.00637655089709884,0.0022139200221392,0.00277893086112264,0.00261749919284166,0.00259443752594438,0.347197106690778,1.25520833333333,0.941908713692946,0.991189427312775,-0.116124104742542
"3","City of Arcadia, CA",3,34.136258,-118.026704,19581,20089,20284,20534,20695,20868,57754,0.0087959275548014,0.00337638951414621,0.00432870450531565,0.00278768570142328,0.00299546351767843,0.383858267716535,1.28205128205128,0.644,1.07453416149068,-0.153889072185375
"4","City of Artesia, CA",4,33.865395,-118.073148,30491,31110,31366,31450,31783,32010,16795,0.0368562072045252,0.0152426317356356,0.00500148853825543,0.0198273295623698,0.0135159273593331,0.413570274636511,0.328125,3.96428571428571,0.681681681681682,0.346915667650977
"5","City of Avalon, CA",5,33.34281,-118.32785,1732,1732,1732,1706,1706,1706,3869,0,0,-0.00672008270871026,0,0,NA,-Inf,0,NA,NA
"6","City of Azusa, CA",6,34.13529,-117.91506,23549,23949,24123,24261,24548,24798,50040,0.00799360511590727,0.00347721822541966,0.00275779376498801,0.00573541167066347,0.00499600319744205,0.435,0.793103448275862,2.07971014492754,0.871080139372822,0.0447234331440551
"7","City of Baldwin Park, CA",7,34.08529,-117.9609,25519,25960,26176,26211,26465,26646,76769,0.00574450624601076,0.0028136357123318,0.000455913194127838,0.00330862718024202,0.00235772251820396,0.489795918367347,0.162037037037037,7.25714285714286,0.71259842519685,1.15539355943602
"8","City of Bell, CA",8,33.976663,-118.168903,28083,28595,28798,28952,29343,29696,36332,0.0140922602664318,0.00558736100407354,0.00423868765826269,0.010761862820654,0.00971595287900473,0.396484375,0.758620689655172,2.53896103896104,0.902813299232737,0.149219850712237
"9","City of Bell Gardens, CA",9,33.9653,-118.1515,27585,28225,28460,28597,29015,29291,43071,0.0148591859952172,0.00545610735761882,0.00318079450210118,0.00970490585312623,0.00640802396043742,0.3671875,0.582978723404255,3.05109489051095,0.660287081339713,0.165387048813729
"10","City of Bellflower, CA",10,33.888014,-118.12965,27093,27639,27856,27948,28260,28538,77735,0.00702386312471859,0.00279153534443944,0.00118350807229691,0.00401363607126777,0.003576252653245,0.397435897435897,0.423963133640553,3.39130434782609,0.891025641025641,0.275932254982045
"11","City of Beverly Hills, CA",11,34.0736,-118.4004,51695,52677,52943,53265,53751,54282,34520,0.0284472769409038,0.00770567786790266,0.0093279258400927,0.0140787949015064,0.0153823870220162,0.270875763747454,1.21052631578947,1.50931677018634,1.09259259259259,0.020827860578964
"12","City of Bradbury, CA",12,34.147,-117.9709,5426,5426,5426,4490,4490,4677,1069,0,0,-0.875584658559401,0,0.174929840972872,NA,-Inf,0,Inf,NA
"13","City of Burbank, CA",13,34.200993,-118.292773,29409,30253,30492,30764,31107,31473,107180,0.00787460347079679,0.00222989363687255,0.00253778690054115,0.00320022392237358,0.00341481619705169,0.283175355450237,1.13807531380753,1.26102941176471,1.06705539358601,-0.06266613134788
"14","City of Calabasas, CA",14,34.12331,-118.671028,27340,28245,28442,28734,29022,29363,24323,0.0372075813016486,0.00809932985240308,0.0120050980553386,0.0118406446573202,0.0140196521810632,0.21767955801105,1.48223350253807,0.986301369863014,1.18402777777778,-0.032439447952522
"15","City of Carson, CA",15,33.813317,-118.261154,22995,23575,23751,23829,24126,24374,93846,0.0061803380005541,0.00187541291051297,0.000831148903522793,0.00316475928649063,0.00264262728299555,0.303448275862069,0.443181818181818,3.80769230769231,0.835016835016835,0.347334809188258
"16","City of Cerritos, CA",16,33.866914,-118.068648,21150,21711,21915,22072,22324,22548,50067,0.0112049853196716,0.00407454011624423,0.00313579803063894,0.00503325543771346,0.00447400483352308,0.363636363636364,0.769607843137255,1.60509554140127,0.888888888888889,-0.0931928407340547
"17","City of Claremont, CA",17,34.09668,-117.71978,21308,21864,22119,22352,22558,22725,36484,0.0152395570661112,0.00698936520118408,0.00638636114461134,0.00564631071154479,0.0045773489748931,0.45863309352518,0.913725490196078,0.88412017167382,0.810679611650486,-0.233210408238609
"18","City of Commerce, CA",18,34,-118.1598,31846,32581,32788,32994,33308,33690,13069,0.0562399571505088,0.0158390083403474,0.0157624913918433,0.0240263218302854,0.0292294743285638,0.281632653061225,0.995169082125604,1.52427184466019,1.21656050955414,0.00440852235029066
