"","day1.MODIFIED_ZCTA","day1","day2","day3","day4","day5","day6","day7","rate1","rate2","rate3","rate4","rate5","rate6","Average","Location"
"1",10001,6512,6704,6929,7272,7392,7669,7819,1.02948402948403,1.03356205250597,1.04950209265406,1.01650165016502,1.03747294372294,1.01955926457165,0.0310136721839451,"Chelsea/NoMad/West Chelsea"
"2",10002,16720,17276,17817,18629,18952,19561,19895,1.03325358851675,1.03131511924056,1.04557445136667,1.01733855816201,1.03213381173491,1.01707479167732,0.029448386783036,"Chinatown/Lower East Side"
"3",10003,14682,15204,15948,17047,17309,17929,18139,1.03555373927258,1.04893449092344,1.06891146225232,1.0153692731859,1.0358195158588,1.0117128674215,0.0360502248190893,"East Village/Gramercy/Greenwich Village"
"4",10004,794,817,845,881,904,935,950,1.02896725440806,1.03427172582619,1.04260355029586,1.0261066969353,1.03429203539823,1.01604278074866,0.0303806739353842,"Financial District"
"5",10005,2022,2090,2148,2238,2276,2365,2396,1.03363006923838,1.02775119617225,1.04189944134078,1.01697944593387,1.03910369068541,1.01310782241015,0.0287452776301398,"Financial District"
"6",10006,804,834,856,901,919,950,967,1.03731343283582,1.02637889688249,1.05257009345794,1.01997780244173,1.03373231773667,1.01789473684211,0.0313112133661275,"Financial District"
"7",10007,1961,2033,2107,2237,2304,2395,2439,1.03671596124426,1.0363994097393,1.06169909824395,1.02995082700045,1.03949652777778,1.01837160751566,0.0371055719202327,"TriBeCa"
"8",10009,15105,15620,16115,16816,17065,17730,18075,1.03409467063886,1.03169014084507,1.04349984486503,1.01480732635585,1.03896864928216,1.01945854483926,0.0304198628043713,"Alphabet City/East Village/Stuyvesant Town-Cooper Village"
"9",10010,8989,9252,9568,10038,10200,10489,10644,1.02925798197797,1.03415477734544,1.0491220735786,1.01613867304244,1.02833333333333,1.01477738583278,0.0286307041850926,"Flatiron/Gramercy/Kips Bay"
"10",10011,13264,13688,14132,14785,15015,15562,15817,1.03196622436671,1.03243717124489,1.04620718935749,1.01555630706797,1.03643023643024,1.01638606862871,0.0298305328493336,"Chelsea"
"11",10012,6167,6467,6772,7195,7324,7517,7632,1.0486460191341,1.04716251739601,1.06246308328411,1.01792911744267,1.02635172037138,1.01529865637887,0.0363085190011911,"Greenwich Village/SoHo"
"12",10013,8053,8363,8655,9138,9329,9758,9993,1.03849497081833,1.03491570010762,1.05580589254766,1.02090172904355,1.04598563618823,1.02408280385325,0.0366977887597733,"Hudson Square/Little Italy/SoHo/TriBeCa"
"13",10014,8832,9087,9357,9732,9882,10228,10376,1.0288722826087,1.02971277649389,1.04007694773966,1.0154130702836,1.03501315523173,1.01447008212749,0.0272597190808461,"Hudson Square/Meatpacking District/West Village"
